file_url,platform_link,Handelsadato,ISIN,Verdipapirnavn,Antall,Kurs,Handelsbeløp,Kilder
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-189.jpeg?expires=1696629224&or=0&s=5a0c12f0f03a04313478f16c7d93921c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66d0-6469-11ee-82cd-129b4cad2a96,16.12.2020,NO0010833262,KLAVENESS COMBINAT,−1000,"35,10",−35100,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-93.jpeg?expires=1696629224&or=0&s=47b63211eb2e73b6dd79f327c7620891,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b631b-6469-11ee-826d-129b4cad2a96,16.12.2020,NO0010571680,WALLENIUS WILHELMS,−2000,"23,35",−46700,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-93.jpeg?expires=1696629224&or=0&s=47b63211eb2e73b6dd79f327c7620891,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b631b-6469-11ee-826d-129b4cad2a96,16.12.2020,NO0010571680,WALLENIUS WILHELMS,−2000,"23,20",−46400,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-93.jpeg?expires=1696629224&or=0&s=47b63211eb2e73b6dd79f327c7620891,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b631b-6469-11ee-826d-129b4cad2a96,16.12.2020,NO0010571680,WALLENIUS WILHELMS,−3000,"23,00",−69000,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-49.jpeg?expires=1696629224&or=0&s=0093dbfcc943ee58bd410dbadec8b1ef,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b61a1-6469-11ee-8241-129b4cad2a96,18.12.2020,N00003108102,ARRIBATEC GROUP,−20000,"2,10",−42000,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-49.jpeg?expires=1696629224&or=0&s=0093dbfcc943ee58bd410dbadec8b1ef,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b61a1-6469-11ee-8241-129b4cad2a96,18.12.2020,NO0003108102,ARRIBATEC GROUP,−60000,"2,09",−125400,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-49.jpeg?expires=1696629224&or=0&s=0093dbfcc943ee58bd410dbadec8b1ef,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b61a1-6469-11ee-8241-129b4cad2a96,18.12.2020,NO0003108102,ARRIBATEC GROUP,−20000,"2,10",−42000,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-29.jpeg?expires=1696629224&or=0&s=f11d14870f04fcac4207ee3093737ee3,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60f0-6469-11ee-822d-129b4cad2a96,18.12.2020,NO0003067902,HEXAGON COMPOSITES,−1000,"48,86",−48857,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-29.jpeg?expires=1696629224&or=0&s=f11d14870f04fcac4207ee3093737ee3,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60f0-6469-11ee-822d-129b4cad2a96,18.12.2020,NO0003067902,HEXAGON COMPOSITES,−1000,"50,00",−50000,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-29.jpeg?expires=1696629224&or=0&s=f11d14870f04fcac4207ee3093737ee3,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60f0-6469-11ee-822d-129b4cad2a96,18.12.2020,NO0003067902,HEXAGON COMPOSITES,−1500,"49,10",−73650,DnB
